time_sec,speed_mph,speed_kmh
369.0,34.5,55.522368
370.0,34.7,55.84423680000001
371.0,35.5,57.13171200000001
372.0,36.0,57.936384000000004
373.0,36.0,57.936384000000004
374.0,36.0,57.936384000000004
375.0,36.0,57.936384000000004
376.0,36.0,57.936384000000004
377.0,36.0,57.936384000000004
378.0,36.1,58.097318400000006
379.0,36.4,58.5801216
380.0,36.5,58.741056
381.0,36.4,58.5801216
382.0,36.0,57.936384000000004
383.0,35.1,56.487974400000006
384.0,34.1,54.878630400000006
385.0,33.5,53.91302400000001
386.0,31.4,50.5334016
387.0,29.0,46.670976
388.0,25.7,41.3601408
389.0,23.0,37.014912
390.0,20.3,32.6696832
391.0,17.5,28.163520000000002
392.0,14.5,23.335488
393.0,12.0,19.312128
394.0,8.7,14.0012928
395.0,5.4,8.690457600000002
396.0,2.1,3.3796224000000006
397.0,0.0,0.0
398.0,0.0,0.0
399.0,0.0,0.0
400.0,0.0,0.0
401.0,0.0,0.0
402.0,0.0,0.0
403.0,2.6,4.184294400000001
404.0,5.9,9.495129600000002
405.0,9.2,14.8059648
406.0,12.5,20.1168
407.0,15.8,25.427635200000005
408.0,19.1,30.738470400000004
409.0,22.4,36.0493056
410.0,25.0,40.2336
411.0,25.6,41.19920640000001
412.0,27.5,44.25696000000001
413.0,29.0,46.670976
414.0,30.0,48.28032
415.0,30.1,48.441254400000005
416.0,30.0,48.28032
417.0,29.7,47.797516800000004
418.0,29.3,47.1537792
419.0,28.8,46.349107200000006
420.0,28.0,45.061632
421.0,25.0,40.2336
422.0,21.7,34.9227648
423.0,18.4,29.6119296
424.0,15.1,24.3010944
425.0,11.8,18.990259200000004
426.0,8.5,13.679424000000001
427.0,5.2,8.368588800000001
428.0,1.9,3.0577536
429.0,0.0,0.0
430.0,0.0,0.0
431.0,0.0,0.0
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0,0.0
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.0,0.0
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0,0.0
444.0,0.0,0.0
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,3.3,5.3108352
449.0,6.6,10.6216704
450.0,9.9,15.932505600000002
451.0,13.2,21.2433408
452.0,16.5,26.554176000000002
453.0,19.8,31.865011200000005
454.0,23.1,37.175846400000005
455.0,26.4,42.4866816
456.0,27.8,44.739763200000006
457.0,29.1,46.831910400000005
458.0,31.5,50.69433600000001
459.0,33.0,53.108352000000004
460.0,33.6,54.07395840000001
461.0,34.8,56.0051712
462.0,35.1,56.487974400000006
463.0,35.6,57.29264640000001
464.0,36.1,58.097318400000006
465.0,36.0,57.936384000000004
466.0,36.1,58.097318400000006
467.0,36.2,58.25825280000001
468.0,36.0,57.936384000000004
469.0,35.7,57.45358080000001
470.0,36.0,57.936384000000004
471.0,36.0,57.936384000000004
472.0,35.6,57.29264640000001
473.0,35.5,57.13171200000001
474.0,35.4,56.9707776
475.0,35.2,56.64890880000001
476.0,35.2,56.64890880000001
477.0,35.2,56.64890880000001
478.0,35.2,56.64890880000001
479.0,35.2,56.64890880000001
480.0,35.2,56.64890880000001
481.0,35.0,56.327040000000004
